"","number","c1","c2","c3","c4","c6","c7","c8","c10","c11","c12","c13","c14","c17","c18","c19","c20","c21","c22"
"22323",22322,-46.32327831,-24.9486123,-18.19871777,-0.448995117,5.675909178,12.9257959,4.80092285,8.800860349,9.17585449,4.80092285,38.17540136,35.05045019,-25.32360644,-10.69883496,0.175995117,12.6757998,41.55034862,147.7986884
"22330",22329,-33.82347362,-8.448870115,0.675987304,1.550973632,6.425897459,17.05073144,5.300915038,13.30079004,5.050918944,4.175932616,34.80045409,34.05046581,-15.0737666,-8.698866209,-0.074000977,17.55072363,43.17532323,-1186.68046
"22346",22345,-46.8232705,-19.32370019,-2.448963867,5.050918944,-4.948924804,7.300883787,-13.69878808,-35.07345409,-4.948924804,-5.823911131,-17.44872949,-5.698913085,-30.94851855,-7.0738916,-0.074000977,-7.198889647,-1.198983398,131.7989384
"22357",22356,-33.69847558,0.925983398,9.300852537,7.925874022,-1.698975586,4.42592871,6.675893553,-4.823926757,3.425944335,0.05099707,1.050981445,12.30080566,-6.698897459,-6.448901366,-0.074000977,-13.57379004,4.175932616,258.9219521
"22389",22388,8.425866209,-5.448916991,-9.323856443,-5.448916991,-0.823989258,-18.44871386,5.550911131,-21.94865917,-6.948893553,0.425991211,-25.82359863,-12.57380566,-11.19882715,-4.448932616,-0.074000977,-2.448963867,-14.57377441,-59.57307127
"22390",22389,2.175963867,-5.948909178,-14.44877636,-7.198889647,-0.448995117,-18.44871386,4.050934569,-21.57366503,-5.948909178,1.300977539,-22.44865136,-6.698897459,-9.323856443,-6.073907225,0.05099707,-0.074000977,-13.07379785,-11.57382129
"22419",22418,3.675940429,-1.573977539,1.175979492,-6.823895506,-4.948924804,-3.198952148,-7.948877928,0.675987304,1.175979492,-8.823864256,-12.9487998,-3.073954101,-9.823848631,-2.198967773,-0.074000977,3.300946288,-11.44882324,-13.07379785
"22422",22421,-10.19884277,-10.57383691,-6.573899413,-3.948940429,-10.94883105,-13.44879199,-10.44883886,-28.82355175,-17.44872949,-10.69883496,-39.19838964,-28.32355956,-19.32370019,-3.448948241,-0.32399707,-12.82380175,-28.44855761,-117.572165
"22425",22424,-16.9487373,-18.44871386,-4.448932616,-6.823895506,-17.19873339,-19.57369628,-23.57363378,-23.57363378,-17.94872168,-12.19881152,-46.5732744,-31.94850292,-20.82367675,3.925936522,-0.074000977,-16.69874121,-38.32340331,-163.6964443
"22433",22432,-13.82378613,-10.32384082,-4.073938476,-10.82383301,7.675877928,-6.323903319,-20.19868652,-15.82375488,-10.69883496,-0.948987304,-43.82331737,-20.07368847,-12.32380957,-0.32399707,0.05099707,-13.57379004,-30.69852245,-148.0716884
"22461",22460,8.425866209,-6.698897459,1.675971679,-3.323950195,3.050950195,-2.32396582,-10.57383691,-17.44872949,-14.69877246,-6.823895506,-22.69864746,-8.948862303,-12.19881152,-3.573946288,-0.074000977,3.300946288,-8.448870115,116.1741826
"22471",22470,-2.948956054,-9.948846677,-0.198999023,-3.198952148,-3.698944335,-0.573993164,-4.198936522,-19.69869433,-19.69869433,-9.198858396,-34.32346581,-9.823848631,-7.948877928,7.925874022,-0.074000977,0.550989258,-12.9487998,219.6725654
"22479",22478,-4.323934569,-11.32382519,-10.44883886,0.800985351,-3.698944335,7.425881834,26.8005791,-15.69875683,-24.32362206,-5.573915038,-24.82361425,-3.948940429,-11.57382129,-8.323872068,-0.074000977,12.55080175,-2.573961913,315.2960712
"22480",22479,5.800907225,-9.323856443,-9.948846677,2.42595996,-5.323918944,9.675846677,32.4254912,-16.19874902,-22.32365332,-7.0738916,-21.94865917,0.675987304,-9.198858396,-12.07381347,-0.074000977,9.800844724,0.550989258,329.5458486
"22483",22482,-1.823973632,-6.448901366,-11.44882324,1.550973632,5.800907225,9.17585449,35.30044628,0.925983398,-16.32374707,-3.198952148,-14.32377832,5.425913085,-3.698944335,-17.94872168,0.05099707,10.17583886,3.550942382,281.1716044
